pin,slack
q_obuf[21]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOOUTFF:A,10467
q_obuf[15]/U0/U_IOOUTFF:Y,10467
q_obuf[4]/U0/U_IOENFF:A,
q_obuf[4]/U0/U_IOENFF:Y,
q_obuf[14]/U0/U_IOENFF:A,
q_obuf[14]/U0/U_IOENFF:Y,
q_obuf[13]/U0/U_IOOUTFF:A,10467
q_obuf[13]/U0/U_IOOUTFF:Y,10467
q_obuf[5]/U0/U_IOENFF:A,
q_obuf[5]/U0/U_IOENFF:Y,
Q_cry[13]:B,17664
Q_cry[13]:FCI,17450
Q_cry[13]:FCO,17450
Q_cry[13]:S,17610
q_obuf[20]/U0/U_IOENFF:A,
q_obuf[20]/U0/U_IOENFF:Y,
Q[11]:ALn,19528
Q[11]:CLK,10467
Q[11]:D,17642
Q[11]:Q,10467
q_obuf[8]/U0/U_IOOUTFF:A,10467
q_obuf[8]/U0/U_IOOUTFF:Y,10467
q_obuf[16]/U0/U_IOPAD:D,10467
q_obuf[16]/U0/U_IOPAD:E,
q_obuf[16]/U0/U_IOPAD:PAD,10467
q_obuf[3]/U0/U_IOPAD:D,10467
q_obuf[3]/U0/U_IOPAD:E,
q_obuf[3]/U0/U_IOPAD:PAD,10467
Q[23]:ALn,19528
Q[23]:CLK,10461
Q[23]:D,17450
Q[23]:Q,10461
q_obuf[2]/U0/U_IOOUTFF:A,10467
q_obuf[2]/U0/U_IOOUTFF:Y,10467
rst_n_ibuf/U0/U_IOINFF:A,
rst_n_ibuf/U0/U_IOINFF:Y,
q_obuf[11]/U0/U_IOPAD:D,10467
q_obuf[11]/U0/U_IOPAD:E,
q_obuf[11]/U0/U_IOPAD:PAD,10467
Q_cry[16]:B,17712
Q_cry[16]:FCI,17450
Q_cry[16]:FCO,17450
Q_cry[16]:S,17562
q_obuf[11]/U0/U_IOENFF:A,
q_obuf[11]/U0/U_IOENFF:Y,
Q[6]:ALn,19528
Q[6]:CLK,10467
Q[6]:D,17722
Q[6]:Q,10467
q_obuf[10]/U0/U_IOENFF:A,
q_obuf[10]/U0/U_IOENFF:Y,
ip_interface_inst:B,
Q_cry[19]:B,17760
Q_cry[19]:FCI,17450
Q_cry[19]:FCO,17450
Q_cry[19]:S,17514
q_obuf[20]/U0/U_IOPAD:D,10467
q_obuf[20]/U0/U_IOPAD:E,
q_obuf[20]/U0/U_IOPAD:PAD,10467
q_obuf[5]/U0/U_IOOUTFF:A,10467
q_obuf[5]/U0/U_IOOUTFF:Y,10467
q_obuf[23]/U0/U_IOOUTFF:A,10461
q_obuf[23]/U0/U_IOOUTFF:Y,10461
q_obuf[1]/U0/U_IOENFF:A,
q_obuf[1]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOPAD:D,10467
q_obuf[15]/U0/U_IOPAD:E,
q_obuf[15]/U0/U_IOPAD:PAD,10467
Q[13]:ALn,19528
Q[13]:CLK,10467
Q[13]:D,17610
Q[13]:Q,10467
Q_cry[21]:B,17792
Q_cry[21]:FCI,17450
Q_cry[21]:FCO,17450
Q_cry[21]:S,17482
Q[17]:ALn,19528
Q[17]:CLK,10467
Q[17]:D,17546
Q[17]:Q,10467
q_obuf[14]/U0/U_IOOUTFF:A,10467
q_obuf[14]/U0/U_IOOUTFF:Y,10467
Q_cry[14]:B,17680
Q_cry[14]:FCI,17450
Q_cry[14]:FCO,17450
Q_cry[14]:S,17594
q_obuf[19]/U0/U_IOPAD:D,10467
q_obuf[19]/U0/U_IOPAD:E,
q_obuf[19]/U0/U_IOPAD:PAD,10467
Q_cry[9]:B,17600
Q_cry[9]:FCI,17450
Q_cry[9]:FCO,17450
Q_cry[9]:S,17674
Q_cry[22]:B,17793
Q_cry[22]:FCI,17450
Q_cry[22]:FCO,17450
Q_cry[22]:S,17466
q_obuf[2]/U0/U_IOENFF:A,
q_obuf[2]/U0/U_IOENFF:Y,
Q[2]:ALn,19528
Q[2]:CLK,10467
Q[2]:D,17786
Q[2]:Q,10467
q_obuf[17]/U0/U_IOPAD:D,10467
q_obuf[17]/U0/U_IOPAD:E,
q_obuf[17]/U0/U_IOPAD:PAD,10467
Q_cry[2]:B,17488
Q_cry[2]:FCI,17450
Q_cry[2]:FCO,17450
Q_cry[2]:S,17786
Q[4]:ALn,19528
Q[4]:CLK,10467
Q[4]:D,17754
Q[4]:Q,10467
Q[8]:ALn,19528
Q[8]:CLK,10467
Q[8]:D,17690
Q[8]:Q,10467
q_obuf[1]/U0/U_IOOUTFF:A,10467
q_obuf[1]/U0/U_IOOUTFF:Y,10467
q_obuf[16]/U0/U_IOOUTFF:A,10467
q_obuf[16]/U0/U_IOOUTFF:Y,10467
Q[22]:ALn,19528
Q[22]:CLK,10467
Q[22]:D,17466
Q[22]:Q,10467
q_obuf[22]/U0/U_IOPAD:D,10467
q_obuf[22]/U0/U_IOPAD:E,
q_obuf[22]/U0/U_IOPAD:PAD,10467
q_obuf[22]/U0/U_IOENFF:A,
q_obuf[22]/U0/U_IOENFF:Y,
q_obuf[17]/U0/U_IOENFF:A,
q_obuf[17]/U0/U_IOENFF:Y,
clk_ibuf_RNIVTI2/U0_RGB1:An,
clk_ibuf_RNIVTI2/U0_RGB1:YL,
q_obuf[10]/U0/U_IOOUTFF:A,10467
q_obuf[10]/U0/U_IOOUTFF:Y,10467
q_obuf[9]/U0/U_IOOUTFF:A,10467
q_obuf[9]/U0/U_IOOUTFF:Y,10467
q_obuf[6]/U0/U_IOPAD:D,10467
q_obuf[6]/U0/U_IOPAD:E,
q_obuf[6]/U0/U_IOPAD:PAD,10467
Q_cry[20]:B,17776
Q_cry[20]:FCI,17450
Q_cry[20]:FCO,17450
Q_cry[20]:S,17498
Q_s_1:B,17450
Q_s_1:FCO,17450
Q_cry[6]:B,17552
Q_cry[6]:FCI,17450
Q_cry[6]:FCO,17450
Q_cry[6]:S,17722
Q[20]:ALn,19528
Q[20]:CLK,10467
Q[20]:D,17498
Q[20]:Q,10467
Q[15]:ALn,19528
Q[15]:CLK,10467
Q[15]:D,17578
Q[15]:Q,10467
q_obuf[18]/U0/U_IOOUTFF:A,10467
q_obuf[18]/U0/U_IOOUTFF:Y,10467
q_obuf[6]/U0/U_IOOUTFF:A,10467
q_obuf[6]/U0/U_IOOUTFF:Y,10467
Q[5]:ALn,19528
Q[5]:CLK,10467
Q[5]:D,17738
Q[5]:Q,10467
TC_obuf/U0/U_IOOUTFF:A,10461
TC_obuf/U0/U_IOOUTFF:Y,10461
q_obuf[23]/U0/U_IOENFF:A,
q_obuf[23]/U0/U_IOENFF:Y,
Q_cry[15]:B,17696
Q_cry[15]:FCI,17450
Q_cry[15]:FCO,17450
Q_cry[15]:S,17578
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
Q_RNO[0]:A,17974
Q_RNO[0]:Y,17974
rst_n_ibuf_RNIBNDC/U0:An,
rst_n_ibuf_RNIBNDC/U0:YNn,
TC_obuf/U0/U_IOPAD:D,10461
TC_obuf/U0/U_IOPAD:E,
TC_obuf/U0/U_IOPAD:PAD,10461
q_obuf[12]/U0/U_IOENFF:A,
q_obuf[12]/U0/U_IOENFF:Y,
q_obuf[12]/U0/U_IOOUTFF:A,10467
q_obuf[12]/U0/U_IOOUTFF:Y,10467
Q[12]:ALn,19528
Q[12]:CLK,10467
Q[12]:D,17626
Q[12]:Q,10467
q_obuf[23]/U0/U_IOPAD:D,10461
q_obuf[23]/U0/U_IOPAD:E,
q_obuf[23]/U0/U_IOPAD:PAD,10461
q_obuf[7]/U0/U_IOENFF:A,
q_obuf[7]/U0/U_IOENFF:Y,
Q_cry[17]:B,17728
Q_cry[17]:FCI,17450
Q_cry[17]:FCO,17450
Q_cry[17]:S,17546
q_obuf[7]/U0/U_IOOUTFF:A,10467
q_obuf[7]/U0/U_IOOUTFF:Y,10467
Q[10]:ALn,19528
Q[10]:CLK,10467
Q[10]:D,17658
Q[10]:Q,10467
q_obuf[20]/U0/U_IOOUTFF:A,10467
q_obuf[20]/U0/U_IOOUTFF:Y,10467
q_obuf[13]/U0/U_IOENFF:A,
q_obuf[13]/U0/U_IOENFF:Y,
q_obuf[18]/U0/U_IOPAD:D,10467
q_obuf[18]/U0/U_IOPAD:E,
q_obuf[18]/U0/U_IOPAD:PAD,10467
q_obuf[17]/U0/U_IOOUTFF:A,10467
q_obuf[17]/U0/U_IOOUTFF:Y,10467
Q[19]:ALn,19528
Q[19]:CLK,10467
Q[19]:D,17514
Q[19]:Q,10467
q[23],10461
q[22],10467
q[21],10467
q[20],10467
q[19],10467
q[18],10467
q[17],10467
q[16],10467
q[15],10467
q[14],10467
q[13],10467
q[12],10467
q[11],10467
q[10],10467
q[9],10467
q[8],10467
q[7],10467
q[6],10467
q[5],10467
q[4],10467
q[3],10467
q[2],10467
q[1],10467
q[0],10461
clk,
rst_n,
TC,10461
