Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Chip Globals
Primitives/Primitives,10,20,20,3
U0/Primitives,13,11,0,0
U1/Primitives,14,12,0,0
