pin,slack
enable_ibuf/U0/U_IOINFF:Y,11380
Dout_obuf[4]/U0/U_IOOUTFF:A,16814
Dout_obuf[4]/U0/U_IOOUTFF:Y,16814
U1/data_out_4[6]:A,11002
U1/data_out_4[6]:B,23045
U1/data_out_4[6]:Y,11002
U1/data_out_4[7]:A,11002
U1/data_out_4[7]:B,23045
U1/data_out_4[7]:Y,11002
Dout_obuf[2]/U0/U_IOENFF:A,
Dout_obuf[2]/U0/U_IOENFF:Y,
U0/un1_state_3_0:A,37540
U0/un1_state_3_0:B,37442
U0/un1_state_3_0:C,37389
U0/un1_state_3_0:Y,37389
Dout_Z[1]:ALn,25027
Dout_Z[1]:CLK,16814
Dout_Z[1]:D,25336
Dout_Z[1]:EN,24085
Dout_Z[1]:Q,16814
reset_ibuf/U0/U_IOINFF:A,11693
reset_ibuf/U0/U_IOINFF:Y,11693
count_Z[2]:ALn,11693
count_Z[2]:CLK,37338
count_Z[2]:D,37387
count_Z[2]:EN,13306
count_Z[2]:Q,37338
count_RNO[0]:A,37608
count_RNO[0]:Y,37608
count_Z[4]:ALn,11693
count_Z[4]:CLK,37376
count_Z[4]:D,37349
count_Z[4]:EN,13306
count_Z[4]:Q,37376
U1/data_out_4[2]:A,11002
U1/data_out_4[2]:B,23045
U1/data_out_4[2]:Y,11002
U0/data_out_5[1]:A,11380
U0/data_out_5[1]:B,37554
U0/data_out_5[1]:Y,11380
Dout_obuf[7]/U0/U_IOENFF:A,
Dout_obuf[7]/U0/U_IOENFF:Y,
clkB_ibuf/U0/U_IOINFF:A,
clkB_ibuf/U0/U_IOINFF:Y,
reset_ibuf_RNI8255/U0:An,11693
reset_ibuf_RNI8255/U0:YNn,11693
U0/data_out[3]:ALn,11693
U0/data_out[3]:CLK,11002
U0/data_out[3]:D,11380
U0/data_out[3]:EN,37334
U0/data_out[3]:Q,11002
U1/data_out[3]:ALn,25027
U1/data_out[3]:CLK,25336
U1/data_out[3]:D,11002
U1/data_out[3]:EN,24104
U1/data_out[3]:Q,25336
U1/state_ns_1_0_.m3:A,24268
U1/state_ns_1_0_.m3:B,24224
U1/state_ns_1_0_.m3:C,24116
U1/state_ns_1_0_.m3:D,25548
U1/state_ns_1_0_.m3:Y,24116
Dout_obuf[5]/U0/U_IOOUTFF:A,16814
Dout_obuf[5]/U0/U_IOOUTFF:Y,16814
U0/data_out_5[6]:A,11380
U0/data_out_5[6]:B,37554
U0/data_out_5[6]:Y,11380
Dout_Z[3]:ALn,25027
Dout_Z[3]:CLK,16814
Dout_Z[3]:D,25336
Dout_Z[3]:EN,24085
Dout_Z[3]:Q,16814
Dout_obuf[3]/U0/U_IOOUTFF:A,16814
Dout_obuf[3]/U0/U_IOOUTFF:Y,16814
clkA_ibuf/U0/U_IOINFF:A,
clkA_ibuf/U0/U_IOINFF:Y,
