
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. SF2project, 0, 0, 0, 0, 0, 0, 0, 0, 77
.	. SF2project_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 77
