pin,slack
q_obuf[21]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOOUTFF:A,9139
q_obuf[15]/U0/U_IOOUTFF:Y,9139
q_obuf[4]/U0/U_IOENFF:A,
q_obuf[4]/U0/U_IOENFF:Y,
q_obuf[14]/U0/U_IOENFF:A,
q_obuf[14]/U0/U_IOENFF:Y,
q_obuf[13]/U0/U_IOOUTFF:A,9139
q_obuf[13]/U0/U_IOOUTFF:Y,9139
q_obuf[5]/U0/U_IOENFF:A,
q_obuf[5]/U0/U_IOENFF:Y,
Q_cry[13]:B,17251
Q_cry[13]:FCI,16996
Q_cry[13]:FCO,16996
Q_cry[13]:S,17186
q_obuf[20]/U0/U_IOENFF:A,
q_obuf[20]/U0/U_IOENFF:Y,
Q[11]:ALn,19447
Q[11]:CLK,9139
Q[11]:D,17224
Q[11]:Q,9139
q_obuf[8]/U0/U_IOOUTFF:A,9139
q_obuf[8]/U0/U_IOOUTFF:Y,9139
q_obuf[16]/U0/U_IOPAD:D,9139
q_obuf[16]/U0/U_IOPAD:E,
q_obuf[16]/U0/U_IOPAD:PAD,9139
q_obuf[3]/U0/U_IOPAD:D,9139
q_obuf[3]/U0/U_IOPAD:E,
q_obuf[3]/U0/U_IOPAD:PAD,9139
Q[23]:ALn,19447
Q[23]:CLK,9131
Q[23]:D,16996
Q[23]:Q,9131
q_obuf[2]/U0/U_IOOUTFF:A,9139
q_obuf[2]/U0/U_IOOUTFF:Y,9139
rst_n_ibuf/U0/U_IOINFF:A,
rst_n_ibuf/U0/U_IOINFF:Y,
q_obuf[11]/U0/U_IOPAD:D,9139
q_obuf[11]/U0/U_IOPAD:E,
q_obuf[11]/U0/U_IOPAD:PAD,9139
Q_cry[16]:B,17308
Q_cry[16]:FCI,16996
Q_cry[16]:FCO,16996
Q_cry[16]:S,17129
q_obuf[11]/U0/U_IOENFF:A,
q_obuf[11]/U0/U_IOENFF:Y,
Q[6]:ALn,19447
Q[6]:CLK,9139
Q[6]:D,17319
Q[6]:Q,9139
q_obuf[10]/U0/U_IOENFF:A,
q_obuf[10]/U0/U_IOENFF:Y,
ip_interface_inst:B,
Q_cry[19]:B,17365
Q_cry[19]:FCI,16996
Q_cry[19]:FCO,16996
Q_cry[19]:S,17072
q_obuf[20]/U0/U_IOPAD:D,9139
q_obuf[20]/U0/U_IOPAD:E,
q_obuf[20]/U0/U_IOPAD:PAD,9139
q_obuf[5]/U0/U_IOOUTFF:A,9139
q_obuf[5]/U0/U_IOOUTFF:Y,9139
q_obuf[23]/U0/U_IOOUTFF:A,9131
q_obuf[23]/U0/U_IOOUTFF:Y,9131
q_obuf[1]/U0/U_IOENFF:A,
q_obuf[1]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOPAD:D,9139
q_obuf[15]/U0/U_IOPAD:E,
q_obuf[15]/U0/U_IOPAD:PAD,9139
Q[13]:ALn,19447
Q[13]:CLK,9139
Q[13]:D,17186
Q[13]:Q,9139
Q_cry[21]:B,17403
Q_cry[21]:FCI,16996
Q_cry[21]:FCO,16996
Q_cry[21]:S,17034
Q[17]:ALn,19447
Q[17]:CLK,9139
Q[17]:D,17110
Q[17]:Q,9139
q_obuf[14]/U0/U_IOOUTFF:A,9139
q_obuf[14]/U0/U_IOOUTFF:Y,9139
Q_cry[14]:B,17270
Q_cry[14]:FCI,16996
Q_cry[14]:FCO,16996
Q_cry[14]:S,17167
q_obuf[19]/U0/U_IOPAD:D,9139
q_obuf[19]/U0/U_IOPAD:E,
q_obuf[19]/U0/U_IOPAD:PAD,9139
Q_cry[9]:B,17175
Q_cry[9]:FCI,16996
Q_cry[9]:FCO,16996
Q_cry[9]:S,17262
Q_cry[22]:B,17404
Q_cry[22]:FCI,16996
Q_cry[22]:FCO,16996
Q_cry[22]:S,17015
q_obuf[2]/U0/U_IOENFF:A,
q_obuf[2]/U0/U_IOENFF:Y,
Q[2]:ALn,19447
Q[2]:CLK,9139
Q[2]:D,17395
Q[2]:Q,9139
q_obuf[17]/U0/U_IOPAD:D,9139
q_obuf[17]/U0/U_IOPAD:E,
q_obuf[17]/U0/U_IOPAD:PAD,9139
Q_cry[2]:B,17042
Q_cry[2]:FCI,16996
Q_cry[2]:FCO,16996
Q_cry[2]:S,17395
Q[4]:ALn,19447
Q[4]:CLK,9139
Q[4]:D,17357
Q[4]:Q,9139
Q[8]:ALn,19447
Q[8]:CLK,9139
Q[8]:D,17281
Q[8]:Q,9139
q_obuf[1]/U0/U_IOOUTFF:A,9139
q_obuf[1]/U0/U_IOOUTFF:Y,9139
q_obuf[16]/U0/U_IOOUTFF:A,9139
q_obuf[16]/U0/U_IOOUTFF:Y,9139
Q[22]:ALn,19447
Q[22]:CLK,9139
Q[22]:D,17015
Q[22]:Q,9139
q_obuf[22]/U0/U_IOPAD:D,9139
q_obuf[22]/U0/U_IOPAD:E,
q_obuf[22]/U0/U_IOPAD:PAD,9139
q_obuf[22]/U0/U_IOENFF:A,
q_obuf[22]/U0/U_IOENFF:Y,
q_obuf[17]/U0/U_IOENFF:A,
q_obuf[17]/U0/U_IOENFF:Y,
clk_ibuf_RNIVTI2/U0_RGB1:An,
clk_ibuf_RNIVTI2/U0_RGB1:YL,
q_obuf[10]/U0/U_IOOUTFF:A,9139
q_obuf[10]/U0/U_IOOUTFF:Y,9139
q_obuf[9]/U0/U_IOOUTFF:A,9139
q_obuf[9]/U0/U_IOOUTFF:Y,9139
q_obuf[6]/U0/U_IOPAD:D,9139
q_obuf[6]/U0/U_IOPAD:E,
q_obuf[6]/U0/U_IOPAD:PAD,9139
Q_cry[20]:B,17384
Q_cry[20]:FCI,16996
Q_cry[20]:FCO,16996
Q_cry[20]:S,17053
Q_s_1:B,16996
Q_s_1:FCO,16996
Q_cry[6]:B,17118
Q_cry[6]:FCI,16996
Q_cry[6]:FCO,16996
Q_cry[6]:S,17319
Q[20]:ALn,19447
Q[20]:CLK,9139
Q[20]:D,17053
Q[20]:Q,9139
Q[15]:ALn,19447
Q[15]:CLK,9139
Q[15]:D,17148
Q[15]:Q,9139
q_obuf[18]/U0/U_IOOUTFF:A,9139
q_obuf[18]/U0/U_IOOUTFF:Y,9139
q_obuf[6]/U0/U_IOOUTFF:A,9139
q_obuf[6]/U0/U_IOOUTFF:Y,9139
Q[5]:ALn,19447
Q[5]:CLK,9139
Q[5]:D,17338
Q[5]:Q,9139
TC_obuf/U0/U_IOOUTFF:A,9131
TC_obuf/U0/U_IOOUTFF:Y,9131
q_obuf[23]/U0/U_IOENFF:A,
q_obuf[23]/U0/U_IOENFF:Y,
Q_cry[15]:B,17289
Q_cry[15]:FCI,16996
Q_cry[15]:FCO,16996
Q_cry[15]:S,17148
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
Q_RNO[0]:A,17616
Q_RNO[0]:Y,17616
rst_n_ibuf_RNIBNDC/U0:An,
rst_n_ibuf_RNIBNDC/U0:YNn,
TC_obuf/U0/U_IOPAD:D,9131
TC_obuf/U0/U_IOPAD:E,
TC_obuf/U0/U_IOPAD:PAD,9131
q_obuf[12]/U0/U_IOENFF:A,
q_obuf[12]/U0/U_IOENFF:Y,
