pin,slack
q_obuf[3]/U0/U_IOOUTFF:Y,11460
Q[16]:ALn,18538
Q[16]:CLK,11460
Q[16]:D,17555
Q[16]:Q,11460
Rollover:ALn,18538
Rollover:CLK,11473
Rollover:D,15780
Rollover:Q,11473
q_obuf[13]/U0/U_IOPAD:D,11460
q_obuf[13]/U0/U_IOPAD:E,
q_obuf[13]/U0/U_IOPAD:PAD,11460
Q_s[23]:B,17780
Q_s[23]:FCI,17443
Q_s[23]:S,17443
q_obuf[0]/U0/U_IOENFF:A,
q_obuf[0]/U0/U_IOENFF:Y,
clk_ibuf/U0/U_IOPAD:PAD,
clk_ibuf/U0/U_IOPAD:Y,
q_obuf[21]/U0/U_IOENFF:A,
q_obuf[21]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOOUTFF:A,11460
q_obuf[15]/U0/U_IOOUTFF:Y,11460
q_obuf[4]/U0/U_IOENFF:A,
q_obuf[4]/U0/U_IOENFF:Y,
q_obuf[14]/U0/U_IOENFF:A,
q_obuf[14]/U0/U_IOENFF:Y,
q_obuf[13]/U0/U_IOOUTFF:A,11460
q_obuf[13]/U0/U_IOOUTFF:Y,11460
q_obuf[5]/U0/U_IOENFF:A,
q_obuf[5]/U0/U_IOENFF:Y,
Q_cry[13]:B,17658
Q_cry[13]:FCI,17443
Q_cry[13]:FCO,17443
Q_cry[13]:S,17603
q_obuf[20]/U0/U_IOENFF:A,
q_obuf[20]/U0/U_IOENFF:Y,
Q[11]:ALn,18538
Q[11]:CLK,11460
Q[11]:D,17635
Q[11]:Q,11460
q_obuf[8]/U0/U_IOOUTFF:A,11460
q_obuf[8]/U0/U_IOOUTFF:Y,11460
q_obuf[16]/U0/U_IOPAD:D,11460
q_obuf[16]/U0/U_IOPAD:E,
q_obuf[16]/U0/U_IOPAD:PAD,11460
q_obuf[3]/U0/U_IOPAD:D,11460
q_obuf[3]/U0/U_IOPAD:E,
q_obuf[3]/U0/U_IOPAD:PAD,11460
Rollover5_15:A,16093
Rollover5_15:B,16009
Rollover5_15:C,15965
Rollover5_15:D,15897
Rollover5_15:Y,15897
Q[23]:ALn,18538
Q[23]:CLK,11453
Q[23]:D,17443
Q[23]:Q,11453
rollover_obuf/U0/U_IOENFF:A,
rollover_obuf/U0/U_IOENFF:Y,
q_obuf[2]/U0/U_IOOUTFF:A,11460
q_obuf[2]/U0/U_IOOUTFF:Y,11460
rst_n_ibuf/U0/U_IOINFF:A,
rst_n_ibuf/U0/U_IOINFF:Y,
q_obuf[11]/U0/U_IOPAD:D,11460
q_obuf[11]/U0/U_IOPAD:E,
q_obuf[11]/U0/U_IOPAD:PAD,11460
Q_cry[16]:B,17706
Q_cry[16]:FCI,17443
Q_cry[16]:FCO,17443
Q_cry[16]:S,17555
q_obuf[11]/U0/U_IOENFF:A,
q_obuf[11]/U0/U_IOENFF:Y,
Q[6]:ALn,18538
Q[6]:CLK,11460
Q[6]:D,17715
Q[6]:Q,11460
q_obuf[10]/U0/U_IOENFF:A,
q_obuf[10]/U0/U_IOENFF:Y,
ip_interface_inst:B,
Q_cry[19]:B,17754
Q_cry[19]:FCI,17443
Q_cry[19]:FCO,17443
Q_cry[19]:S,17507
q_obuf[20]/U0/U_IOPAD:D,11460
q_obuf[20]/U0/U_IOPAD:E,
q_obuf[20]/U0/U_IOPAD:PAD,11460
q_obuf[5]/U0/U_IOOUTFF:A,11460
q_obuf[5]/U0/U_IOOUTFF:Y,11460
q_obuf[23]/U0/U_IOOUTFF:A,11453
q_obuf[23]/U0/U_IOOUTFF:Y,11453
q_obuf[1]/U0/U_IOENFF:A,
q_obuf[1]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOPAD:D,11460
q_obuf[15]/U0/U_IOPAD:E,
q_obuf[15]/U0/U_IOPAD:PAD,11460
Q[13]:ALn,18538
Q[13]:CLK,11460
Q[13]:D,17603
Q[13]:Q,11460
rollover_obuf/U0/U_IOOUTFF:A,11473
rollover_obuf/U0/U_IOOUTFF:Y,11473
Q_cry[21]:B,17786
Q_cry[21]:FCI,17443
Q_cry[21]:FCO,17443
Q_cry[21]:S,17475
Q[17]:ALn,18538
Q[17]:CLK,11460
Q[17]:D,17539
Q[17]:Q,11460
q_obuf[14]/U0/U_IOOUTFF:A,11460
q_obuf[14]/U0/U_IOOUTFF:Y,11460
Q_cry[14]:B,17674
Q_cry[14]:FCI,17443
Q_cry[14]:FCO,17443
Q_cry[14]:S,17587
Rollover5_21:A,15981
Rollover5_21:B,15897
Rollover5_21:C,15780
Rollover5_21:D,15785
Rollover5_21:Y,15780
q_obuf[19]/U0/U_IOPAD:D,11460
q_obuf[19]/U0/U_IOPAD:E,
q_obuf[19]/U0/U_IOPAD:PAD,11460
Q_cry[9]:B,17594
Q_cry[9]:FCI,17443
Q_cry[9]:FCO,17443
Q_cry[9]:S,17667
Q_cry[22]:B,17787
